task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,5,2,20000,32,20,0,0.6,0.7333,0.1027,per_seed
button-press,5,2,20000,32,20,1,0.85,0.7333,0.1027,per_seed
button-press,5,2,20000,32,20,2,0.75,0.7333,0.1027,per_seed
assembly,5,2,20000,32,20,0,0.45,0.4167,0.0471,per_seed
assembly,5,2,20000,32,20,1,0.45,0.4167,0.0471,per_seed
assembly,5,2,20000,32,20,2,0.35,0.4167,0.0471,per_seed
bin-picking,5,2,20000,32,20,0,0.1,0.2,0.0816,per_seed
bin-picking,5,2,20000,32,20,1,0.2,0.2,0.0816,per_seed
bin-picking,5,2,20000,32,20,2,0.3,0.2,0.0816,per_seed
drawer-open,5,2,20000,32,20,0,0.85,0.85,0.0816,per_seed
drawer-open,5,2,20000,32,20,1,0.95,0.85,0.0816,per_seed
drawer-open,5,2,20000,32,20,2,0.75,0.85,0.0816,per_seed
hammer,5,2,20000,32,20,0,0.25,0.4333,0.1312,per_seed
hammer,5,2,20000,32,20,1,0.55,0.4333,0.1312,per_seed
hammer,5,2,20000,32,20,2,0.5,0.4333,0.1312,per_seed
AVERAGE,5,all,20000,32,20,all,N/A,0.5267,0.0889,summary
