task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,10,0,20000,32,20,0,1.0,0.9667,0.0236,per_seed
button-press,10,0,20000,32,20,1,0.95,0.9667,0.0236,per_seed
button-press,10,0,20000,32,20,2,0.95,0.9667,0.0236,per_seed
assembly,10,0,20000,32,20,0,0.5,0.5167,0.0624,per_seed
assembly,10,0,20000,32,20,1,0.6,0.5167,0.0624,per_seed
assembly,10,0,20000,32,20,2,0.45,0.5167,0.0624,per_seed
bin-picking,10,0,20000,32,20,0,0.45,0.5833,0.1247,per_seed
bin-picking,10,0,20000,32,20,1,0.55,0.5833,0.1247,per_seed
bin-picking,10,0,20000,32,20,2,0.75,0.5833,0.1247,per_seed
drawer-open,10,0,20000,32,20,0,1.0,0.9833,0.0236,per_seed
drawer-open,10,0,20000,32,20,1,0.95,0.9833,0.0236,per_seed
drawer-open,10,0,20000,32,20,2,1.0,0.9833,0.0236,per_seed
hammer,10,0,20000,32,20,0,0.65,0.7,0.0408,per_seed
hammer,10,0,20000,32,20,1,0.7,0.7,0.0408,per_seed
hammer,10,0,20000,32,20,2,0.75,0.7,0.0408,per_seed
AVERAGE,10,all,20000,32,20,all,N/A,0.75,0.055,summary
