task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,25,1,20000,32,20,0,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,1,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,2,1.0,1.0,0.0,per_seed
assembly,25,1,20000,32,20,0,0.9,0.6333,0.3091,per_seed
assembly,25,1,20000,32,20,1,0.2,0.6333,0.3091,per_seed
assembly,25,1,20000,32,20,2,0.8,0.6333,0.3091,per_seed
bin-picking,25,1,20000,32,20,0,0.4,0.5333,0.1247,per_seed
bin-picking,25,1,20000,32,20,1,0.5,0.5333,0.1247,per_seed
bin-picking,25,1,20000,32,20,2,0.7,0.5333,0.1247,per_seed
drawer-open,25,1,20000,32,20,0,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,1,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,2,1.0,1.0,0.0,per_seed
hammer,25,1,20000,32,20,0,1.0,0.9333,0.0624,per_seed
hammer,25,1,20000,32,20,1,0.95,0.9333,0.0624,per_seed
hammer,25,1,20000,32,20,2,0.85,0.9333,0.0624,per_seed
AVERAGE,25,all,20000,32,20,all,N/A,0.82,0.0992,summary
