task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,10,1,20000,32,20,0,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,1,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,2,1.0,1.0,0.0,per_seed
assembly,10,1,20000,32,20,0,0.55,0.5333,0.0624,per_seed
assembly,10,1,20000,32,20,1,0.45,0.5333,0.0624,per_seed
assembly,10,1,20000,32,20,2,0.6,0.5333,0.0624,per_seed
bin-picking,10,1,20000,32,20,0,0.5,0.65,0.1225,per_seed
bin-picking,10,1,20000,32,20,1,0.65,0.65,0.1225,per_seed
bin-picking,10,1,20000,32,20,2,0.8,0.65,0.1225,per_seed
drawer-open,10,1,20000,32,20,0,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,1,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,2,1.0,1.0,0.0,per_seed
hammer,10,1,20000,32,20,0,0.95,0.85,0.0707,per_seed
hammer,10,1,20000,32,20,1,0.8,0.85,0.0707,per_seed
hammer,10,1,20000,32,20,2,0.8,0.85,0.0707,per_seed
AVERAGE,10,all,20000,32,20,all,N/A,0.8067,0.0511,summary
