task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,2,20000,32,20,droid,0,0.6,0.7,0.108,per_seed
button-press,5,2,20000,32,20,droid,1,0.85,0.7,0.108,per_seed
button-press,5,2,20000,32,20,droid,2,0.65,0.7,0.108,per_seed
assembly,5,2,20000,32,20,droid,0,0.1,0.2333,0.1247,per_seed
assembly,5,2,20000,32,20,droid,1,0.2,0.2333,0.1247,per_seed
assembly,5,2,20000,32,20,droid,2,0.4,0.2333,0.1247,per_seed
bin-picking,5,2,20000,32,20,droid,0,0.5,0.55,0.108,per_seed
bin-picking,5,2,20000,32,20,droid,1,0.45,0.55,0.108,per_seed
bin-picking,5,2,20000,32,20,droid,2,0.7,0.55,0.108,per_seed
drawer-open,5,2,20000,32,20,droid,0,0.6,0.6833,0.085,per_seed
drawer-open,5,2,20000,32,20,droid,1,0.8,0.6833,0.085,per_seed
drawer-open,5,2,20000,32,20,droid,2,0.65,0.6833,0.085,per_seed
hammer,5,2,20000,32,20,droid,0,0.5,0.4,0.0816,per_seed
hammer,5,2,20000,32,20,droid,1,0.4,0.4,0.0816,per_seed
hammer,5,2,20000,32,20,droid,2,0.3,0.4,0.0816,per_seed
AVERAGE,5,all,20000,32,20,droid,all,N/A,0.5133,0.1015,summary
