task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,2,20000,32,20,droid,0,1.0,0.9833,0.0236,per_seed
button-press,10,2,20000,32,20,droid,1,1.0,0.9833,0.0236,per_seed
button-press,10,2,20000,32,20,droid,2,0.95,0.9833,0.0236,per_seed
assembly,10,2,20000,32,20,droid,0,0.05,0.0667,0.0236,per_seed
assembly,10,2,20000,32,20,droid,1,0.05,0.0667,0.0236,per_seed
assembly,10,2,20000,32,20,droid,2,0.1,0.0667,0.0236,per_seed
bin-picking,10,2,20000,32,20,droid,0,0.7,0.6,0.108,per_seed
bin-picking,10,2,20000,32,20,droid,1,0.45,0.6,0.108,per_seed
bin-picking,10,2,20000,32,20,droid,2,0.65,0.6,0.108,per_seed
drawer-open,10,2,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
hammer,10,2,20000,32,20,droid,0,0.6,0.5,0.0816,per_seed
hammer,10,2,20000,32,20,droid,1,0.4,0.5,0.0816,per_seed
hammer,10,2,20000,32,20,droid,2,0.5,0.5,0.0816,per_seed
AVERAGE,10,all,20000,32,20,droid,all,N/A,0.63,0.0474,summary
