task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,1,20000,32,20,droid,0,0.65,0.7,0.0408,per_seed
button-press,5,1,20000,32,20,droid,1,0.75,0.7,0.0408,per_seed
button-press,5,1,20000,32,20,droid,2,0.7,0.7,0.0408,per_seed
assembly,5,1,20000,32,20,droid,0,0.1,0.1833,0.085,per_seed
assembly,5,1,20000,32,20,droid,1,0.3,0.1833,0.085,per_seed
assembly,5,1,20000,32,20,droid,2,0.15,0.1833,0.085,per_seed
bin-picking,5,1,20000,32,20,droid,0,0.3,0.3667,0.0943,per_seed
bin-picking,5,1,20000,32,20,droid,1,0.3,0.3667,0.0943,per_seed
bin-picking,5,1,20000,32,20,droid,2,0.5,0.3667,0.0943,per_seed
drawer-open,5,1,20000,32,20,droid,0,0.85,0.8667,0.0236,per_seed
drawer-open,5,1,20000,32,20,droid,1,0.9,0.8667,0.0236,per_seed
drawer-open,5,1,20000,32,20,droid,2,0.85,0.8667,0.0236,per_seed
hammer,5,1,20000,32,20,droid,0,0.2,0.2833,0.0624,per_seed
hammer,5,1,20000,32,20,droid,1,0.35,0.2833,0.0624,per_seed
hammer,5,1,20000,32,20,droid,2,0.3,0.2833,0.0624,per_seed
AVERAGE,5,all,20000,32,20,droid,all,N/A,0.48,0.0612,summary
