task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,1,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
assembly,10,1,20000,32,20,droid,0,0.2,0.2,0.0408,per_seed
assembly,10,1,20000,32,20,droid,1,0.25,0.2,0.0408,per_seed
assembly,10,1,20000,32,20,droid,2,0.15,0.2,0.0408,per_seed
bin-picking,10,1,20000,32,20,droid,0,0.4,0.5667,0.2014,per_seed
bin-picking,10,1,20000,32,20,droid,1,0.45,0.5667,0.2014,per_seed
bin-picking,10,1,20000,32,20,droid,2,0.85,0.5667,0.2014,per_seed
drawer-open,10,1,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
hammer,10,1,20000,32,20,droid,0,0.9,0.8667,0.0236,per_seed
hammer,10,1,20000,32,20,droid,1,0.85,0.8667,0.0236,per_seed
hammer,10,1,20000,32,20,droid,2,0.85,0.8667,0.0236,per_seed
AVERAGE,10,all,20000,32,20,droid,all,N/A,0.7267,0.0532,summary
