task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,0,20000,32,20,droid,0,0.8,0.75,0.108,per_seed
button-press,5,0,20000,32,20,droid,1,0.85,0.75,0.108,per_seed
button-press,5,0,20000,32,20,droid,2,0.6,0.75,0.108,per_seed
assembly,5,0,20000,32,20,droid,0,0.05,0.1333,0.0624,per_seed
assembly,5,0,20000,32,20,droid,1,0.2,0.1333,0.0624,per_seed
assembly,5,0,20000,32,20,droid,2,0.15,0.1333,0.0624,per_seed
bin-picking,5,0,20000,32,20,droid,0,0.2,0.2,0.0,per_seed
bin-picking,5,0,20000,32,20,droid,1,0.2,0.2,0.0,per_seed
bin-picking,5,0,20000,32,20,droid,2,0.2,0.2,0.0,per_seed
drawer-open,5,0,20000,32,20,droid,0,0.4,0.3833,0.0236,per_seed
drawer-open,5,0,20000,32,20,droid,1,0.4,0.3833,0.0236,per_seed
drawer-open,5,0,20000,32,20,droid,2,0.35,0.3833,0.0236,per_seed
hammer,5,0,20000,32,20,droid,0,0.3,0.3833,0.0624,per_seed
hammer,5,0,20000,32,20,droid,1,0.45,0.3833,0.0624,per_seed
hammer,5,0,20000,32,20,droid,2,0.4,0.3833,0.0624,per_seed
AVERAGE,5,all,20000,32,20,droid,all,N/A,0.37,0.0513,summary
