task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,0,20000,32,20,droid,0,1.0,0.9667,0.0236,per_seed
button-press,25,0,20000,32,20,droid,1,0.95,0.9667,0.0236,per_seed
button-press,25,0,20000,32,20,droid,2,0.95,0.9667,0.0236,per_seed
assembly,25,0,20000,32,20,droid,0,0.3,0.2833,0.0236,per_seed
assembly,25,0,20000,32,20,droid,1,0.25,0.2833,0.0236,per_seed
assembly,25,0,20000,32,20,droid,2,0.3,0.2833,0.0236,per_seed
bin-picking,25,0,20000,32,20,droid,0,0.4,0.5,0.108,per_seed
bin-picking,25,0,20000,32,20,droid,1,0.65,0.5,0.108,per_seed
bin-picking,25,0,20000,32,20,droid,2,0.45,0.5,0.108,per_seed
drawer-open,25,0,20000,32,20,droid,0,1.0,0.9667,0.0471,per_seed
drawer-open,25,0,20000,32,20,droid,1,1.0,0.9667,0.0471,per_seed
drawer-open,25,0,20000,32,20,droid,2,0.9,0.9667,0.0471,per_seed
hammer,25,0,20000,32,20,droid,0,1.0,0.9333,0.0624,per_seed
hammer,25,0,20000,32,20,droid,1,0.85,0.9333,0.0624,per_seed
hammer,25,0,20000,32,20,droid,2,0.95,0.9333,0.0624,per_seed
AVERAGE,25,all,20000,32,20,droid,all,N/A,0.73,0.0529,summary
