task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,0,20000,32,20,droid,0,1.0,0.9833,0.0236,per_seed
button-press,10,0,20000,32,20,droid,1,1.0,0.9833,0.0236,per_seed
button-press,10,0,20000,32,20,droid,2,0.95,0.9833,0.0236,per_seed
assembly,10,0,20000,32,20,droid,0,0.25,0.2,0.0707,per_seed
assembly,10,0,20000,32,20,droid,1,0.25,0.2,0.0707,per_seed
assembly,10,0,20000,32,20,droid,2,0.1,0.2,0.0707,per_seed
bin-picking,10,0,20000,32,20,droid,0,0.2,0.4667,0.2248,per_seed
bin-picking,10,0,20000,32,20,droid,1,0.45,0.4667,0.2248,per_seed
bin-picking,10,0,20000,32,20,droid,2,0.75,0.4667,0.2248,per_seed
drawer-open,10,0,20000,32,20,droid,0,0.95,0.8833,0.0624,per_seed
drawer-open,10,0,20000,32,20,droid,1,0.8,0.8833,0.0624,per_seed
drawer-open,10,0,20000,32,20,droid,2,0.9,0.8833,0.0624,per_seed
hammer,10,0,20000,32,20,droid,0,0.4,0.6,0.1633,per_seed
hammer,10,0,20000,32,20,droid,1,0.8,0.6,0.1633,per_seed
hammer,10,0,20000,32,20,droid,2,0.6,0.6,0.1633,per_seed
AVERAGE,10,all,20000,32,20,droid,all,N/A,0.6267,0.109,summary
