task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,2,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
button-press,10,2,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
button-press,10,2,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
assembly,10,2,20000,32,20,droid,0,0.2,0.1333,0.0943,per_seed
assembly,10,2,20000,32,20,droid,1,0.0,0.1333,0.0943,per_seed
assembly,10,2,20000,32,20,droid,2,0.2,0.1333,0.0943,per_seed
bin-picking,10,2,20000,32,20,droid,0,0.2,0.25,0.1472,per_seed
bin-picking,10,2,20000,32,20,droid,1,0.1,0.25,0.1472,per_seed
bin-picking,10,2,20000,32,20,droid,2,0.45,0.25,0.1472,per_seed
drawer-open,10,2,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
hammer,10,2,20000,32,20,droid,0,0.95,0.9,0.0707,per_seed
hammer,10,2,20000,32,20,droid,1,0.95,0.9,0.0707,per_seed
hammer,10,2,20000,32,20,droid,2,0.8,0.9,0.0707,per_seed
AVERAGE,10,all,20000,32,20,droid,all,N/A,0.6567,0.0624,summary
