task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,1,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
assembly,10,1,20000,32,20,droid,0,0.0,0.1667,0.2357,per_seed
assembly,10,1,20000,32,20,droid,1,0.5,0.1667,0.2357,per_seed
assembly,10,1,20000,32,20,droid,2,0.0,0.1667,0.2357,per_seed
bin-picking,10,1,20000,32,20,droid,0,0.5,0.5,0.0816,per_seed
bin-picking,10,1,20000,32,20,droid,1,0.4,0.5,0.0816,per_seed
bin-picking,10,1,20000,32,20,droid,2,0.6,0.5,0.0816,per_seed
drawer-open,10,1,20000,32,20,droid,0,1.0,0.9833,0.0236,per_seed
drawer-open,10,1,20000,32,20,droid,1,1.0,0.9833,0.0236,per_seed
drawer-open,10,1,20000,32,20,droid,2,0.95,0.9833,0.0236,per_seed
hammer,10,1,20000,32,20,droid,0,0.75,0.7667,0.0236,per_seed
hammer,10,1,20000,32,20,droid,1,0.8,0.7667,0.0236,per_seed
hammer,10,1,20000,32,20,droid,2,0.75,0.7667,0.0236,per_seed
AVERAGE,10,all,20000,32,20,droid,all,N/A,0.6833,0.0729,summary
