task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,1,20000,32,20,droid,0,0.65,0.6667,0.0236,per_seed
button-press,5,1,20000,32,20,droid,1,0.7,0.6667,0.0236,per_seed
button-press,5,1,20000,32,20,droid,2,0.65,0.6667,0.0236,per_seed
assembly,5,1,20000,32,20,droid,0,0.2,0.25,0.108,per_seed
assembly,5,1,20000,32,20,droid,1,0.15,0.25,0.108,per_seed
assembly,5,1,20000,32,20,droid,2,0.4,0.25,0.108,per_seed
bin-picking,5,1,20000,32,20,droid,0,0.1,0.2667,0.1247,per_seed
bin-picking,5,1,20000,32,20,droid,1,0.3,0.2667,0.1247,per_seed
bin-picking,5,1,20000,32,20,droid,2,0.4,0.2667,0.1247,per_seed
drawer-open,5,1,20000,32,20,droid,0,0.6,0.7333,0.1247,per_seed
drawer-open,5,1,20000,32,20,droid,1,0.9,0.7333,0.1247,per_seed
drawer-open,5,1,20000,32,20,droid,2,0.7,0.7333,0.1247,per_seed
hammer,5,1,20000,32,20,droid,0,0.65,0.45,0.1472,per_seed
hammer,5,1,20000,32,20,droid,1,0.4,0.45,0.1472,per_seed
hammer,5,1,20000,32,20,droid,2,0.3,0.45,0.1472,per_seed
AVERAGE,5,all,20000,32,20,droid,all,N/A,0.4733,0.1056,summary
