task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,0,20000,32,20,droid,0,0.8,0.8667,0.0471,per_seed
button-press,5,0,20000,32,20,droid,1,0.9,0.8667,0.0471,per_seed
button-press,5,0,20000,32,20,droid,2,0.9,0.8667,0.0471,per_seed
assembly,5,0,20000,32,20,droid,0,0.1,0.1833,0.0624,per_seed
assembly,5,0,20000,32,20,droid,1,0.2,0.1833,0.0624,per_seed
assembly,5,0,20000,32,20,droid,2,0.25,0.1833,0.0624,per_seed
bin-picking,5,0,20000,32,20,droid,0,0.25,0.25,0.1225,per_seed
bin-picking,5,0,20000,32,20,droid,1,0.1,0.25,0.1225,per_seed
bin-picking,5,0,20000,32,20,droid,2,0.4,0.25,0.1225,per_seed
drawer-open,5,0,20000,32,20,droid,0,0.6,0.6833,0.0624,per_seed
drawer-open,5,0,20000,32,20,droid,1,0.7,0.6833,0.0624,per_seed
drawer-open,5,0,20000,32,20,droid,2,0.75,0.6833,0.0624,per_seed
hammer,5,0,20000,32,20,droid,0,0.5,0.45,0.108,per_seed
hammer,5,0,20000,32,20,droid,1,0.55,0.45,0.108,per_seed
hammer,5,0,20000,32,20,droid,2,0.3,0.45,0.108,per_seed
AVERAGE,5,all,20000,32,20,droid,all,N/A,0.4867,0.0805,summary
