task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,25,1,20000,32,20,0,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,1,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,2,1.0,1.0,0.0,per_seed
assembly,25,1,20000,32,20,0,0.4,0.7833,0.2718,per_seed
assembly,25,1,20000,32,20,1,1.0,0.7833,0.2718,per_seed
assembly,25,1,20000,32,20,2,0.95,0.7833,0.2718,per_seed
bin-picking,25,1,20000,32,20,0,0.8,0.8,0.0408,per_seed
bin-picking,25,1,20000,32,20,1,0.75,0.8,0.0408,per_seed
bin-picking,25,1,20000,32,20,2,0.85,0.8,0.0408,per_seed
drawer-open,25,1,20000,32,20,0,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,1,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,2,1.0,1.0,0.0,per_seed
hammer,25,1,20000,32,20,0,1.0,0.95,0.0707,per_seed
hammer,25,1,20000,32,20,1,1.0,0.95,0.0707,per_seed
hammer,25,1,20000,32,20,2,0.85,0.95,0.0707,per_seed
AVERAGE,25,all,20000,32,20,all,N/A,0.9067,0.0767,summary
