task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,10,2,20000,32,20,0,1.0,1.0,0.0,per_seed
button-press,10,2,20000,32,20,1,1.0,1.0,0.0,per_seed
button-press,10,2,20000,32,20,2,1.0,1.0,0.0,per_seed
assembly,10,2,20000,32,20,0,0.7,0.6833,0.0236,per_seed
assembly,10,2,20000,32,20,1,0.65,0.6833,0.0236,per_seed
assembly,10,2,20000,32,20,2,0.7,0.6833,0.0236,per_seed
bin-picking,10,2,20000,32,20,0,0.15,0.4667,0.2461,per_seed
bin-picking,10,2,20000,32,20,1,0.5,0.4667,0.2461,per_seed
bin-picking,10,2,20000,32,20,2,0.75,0.4667,0.2461,per_seed
drawer-open,10,2,20000,32,20,0,1.0,0.9667,0.0471,per_seed
drawer-open,10,2,20000,32,20,1,1.0,0.9667,0.0471,per_seed
drawer-open,10,2,20000,32,20,2,0.9,0.9667,0.0471,per_seed
hammer,10,2,20000,32,20,0,0.7,0.8167,0.1027,per_seed
hammer,10,2,20000,32,20,1,0.95,0.8167,0.1027,per_seed
hammer,10,2,20000,32,20,2,0.8,0.8167,0.1027,per_seed
AVERAGE,10,all,20000,32,20,all,N/A,0.7867,0.0839,summary
