task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,5,2,20000,32,20,0,0.6,0.6667,0.0624,per_seed
button-press,5,2,20000,32,20,1,0.75,0.6667,0.0624,per_seed
button-press,5,2,20000,32,20,2,0.65,0.6667,0.0624,per_seed
assembly,5,2,20000,32,20,0,0.35,0.3333,0.0236,per_seed
assembly,5,2,20000,32,20,1,0.3,0.3333,0.0236,per_seed
assembly,5,2,20000,32,20,2,0.35,0.3333,0.0236,per_seed
bin-picking,5,2,20000,32,20,0,0.3,0.3,0.0408,per_seed
bin-picking,5,2,20000,32,20,1,0.25,0.3,0.0408,per_seed
bin-picking,5,2,20000,32,20,2,0.35,0.3,0.0408,per_seed
drawer-open,5,2,20000,32,20,0,0.6,0.7167,0.085,per_seed
drawer-open,5,2,20000,32,20,1,0.75,0.7167,0.085,per_seed
drawer-open,5,2,20000,32,20,2,0.8,0.7167,0.085,per_seed
hammer,5,2,20000,32,20,0,0.5,0.4167,0.085,per_seed
hammer,5,2,20000,32,20,1,0.45,0.4167,0.085,per_seed
hammer,5,2,20000,32,20,2,0.3,0.4167,0.085,per_seed
AVERAGE,5,all,20000,32,20,all,N/A,0.4867,0.0593,summary
