task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,10,1,20000,32,20,0,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,1,1.0,1.0,0.0,per_seed
button-press,10,1,20000,32,20,2,1.0,1.0,0.0,per_seed
assembly,10,1,20000,32,20,0,0.9,0.75,0.108,per_seed
assembly,10,1,20000,32,20,1,0.7,0.75,0.108,per_seed
assembly,10,1,20000,32,20,2,0.65,0.75,0.108,per_seed
bin-picking,10,1,20000,32,20,0,0.55,0.6333,0.1179,per_seed
bin-picking,10,1,20000,32,20,1,0.55,0.6333,0.1179,per_seed
bin-picking,10,1,20000,32,20,2,0.8,0.6333,0.1179,per_seed
drawer-open,10,1,20000,32,20,0,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,1,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,2,1.0,1.0,0.0,per_seed
hammer,10,1,20000,32,20,0,0.9,0.8333,0.0471,per_seed
hammer,10,1,20000,32,20,1,0.8,0.8333,0.0471,per_seed
hammer,10,1,20000,32,20,2,0.8,0.8333,0.0471,per_seed
AVERAGE,10,all,20000,32,20,all,N/A,0.8433,0.0546,summary
