task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,seed,success_rate,mean,std,row_type
button-press,5,1,20000,32,20,0,0.6,0.7333,0.1027,per_seed
button-press,5,1,20000,32,20,1,0.85,0.7333,0.1027,per_seed
button-press,5,1,20000,32,20,2,0.75,0.7333,0.1027,per_seed
assembly,5,1,20000,32,20,0,0.2,0.2167,0.0624,per_seed
assembly,5,1,20000,32,20,1,0.15,0.2167,0.0624,per_seed
assembly,5,1,20000,32,20,2,0.3,0.2167,0.0624,per_seed
bin-picking,5,1,20000,32,20,0,0.4,0.3167,0.085,per_seed
bin-picking,5,1,20000,32,20,1,0.35,0.3167,0.085,per_seed
bin-picking,5,1,20000,32,20,2,0.2,0.3167,0.085,per_seed
drawer-open,5,1,20000,32,20,0,0.6,0.75,0.108,per_seed
drawer-open,5,1,20000,32,20,1,0.8,0.75,0.108,per_seed
drawer-open,5,1,20000,32,20,2,0.85,0.75,0.108,per_seed
hammer,5,1,20000,32,20,0,0.55,0.45,0.108,per_seed
hammer,5,1,20000,32,20,1,0.5,0.45,0.108,per_seed
hammer,5,1,20000,32,20,2,0.3,0.45,0.108,per_seed
AVERAGE,5,all,20000,32,20,all,N/A,0.4933,0.0932,summary
