task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,0,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
button-press,10,0,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
button-press,10,0,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
assembly,10,0,20000,32,20,droid_frozen,0,0.15,0.0667,0.0624,per_seed
assembly,10,0,20000,32,20,droid_frozen,1,0.0,0.0667,0.0624,per_seed
assembly,10,0,20000,32,20,droid_frozen,2,0.05,0.0667,0.0624,per_seed
bin-picking,10,0,20000,32,20,droid_frozen,0,0.4,0.4167,0.1841,per_seed
bin-picking,10,0,20000,32,20,droid_frozen,1,0.2,0.4167,0.1841,per_seed
bin-picking,10,0,20000,32,20,droid_frozen,2,0.65,0.4167,0.1841,per_seed
drawer-open,10,0,20000,32,20,droid_frozen,0,1.0,0.9667,0.0471,per_seed
drawer-open,10,0,20000,32,20,droid_frozen,1,1.0,0.9667,0.0471,per_seed
drawer-open,10,0,20000,32,20,droid_frozen,2,0.9,0.9667,0.0471,per_seed
hammer,10,0,20000,32,20,droid_frozen,0,0.45,0.6167,0.1434,per_seed
hammer,10,0,20000,32,20,droid_frozen,1,0.8,0.6167,0.1434,per_seed
hammer,10,0,20000,32,20,droid_frozen,2,0.6,0.6167,0.1434,per_seed
AVERAGE,10,all,20000,32,20,droid_frozen,all,N/A,0.6133,0.0874,summary
