task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,1,20000,32,20,droid_frozen,0,0.95,0.9667,0.0236,per_seed
button-press,10,1,20000,32,20,droid_frozen,1,0.95,0.9667,0.0236,per_seed
button-press,10,1,20000,32,20,droid_frozen,2,1.0,0.9667,0.0236,per_seed
assembly,10,1,20000,32,20,droid_frozen,0,0.3,0.25,0.0408,per_seed
assembly,10,1,20000,32,20,droid_frozen,1,0.25,0.25,0.0408,per_seed
assembly,10,1,20000,32,20,droid_frozen,2,0.2,0.25,0.0408,per_seed
bin-picking,10,1,20000,32,20,droid_frozen,0,0.35,0.4833,0.1546,per_seed
bin-picking,10,1,20000,32,20,droid_frozen,1,0.4,0.4833,0.1546,per_seed
bin-picking,10,1,20000,32,20,droid_frozen,2,0.7,0.4833,0.1546,per_seed
drawer-open,10,1,20000,32,20,droid_frozen,0,1.0,0.9667,0.0471,per_seed
drawer-open,10,1,20000,32,20,droid_frozen,1,1.0,0.9667,0.0471,per_seed
drawer-open,10,1,20000,32,20,droid_frozen,2,0.9,0.9667,0.0471,per_seed
hammer,10,1,20000,32,20,droid_frozen,0,0.7,0.7167,0.0624,per_seed
hammer,10,1,20000,32,20,droid_frozen,1,0.8,0.7167,0.0624,per_seed
hammer,10,1,20000,32,20,droid_frozen,2,0.65,0.7167,0.0624,per_seed
AVERAGE,10,all,20000,32,20,droid_frozen,all,N/A,0.6767,0.0657,summary
