task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,1,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
button-press,25,1,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
assembly,25,1,20000,32,20,droid_frozen,0,0.5,0.5167,0.1434,per_seed
assembly,25,1,20000,32,20,droid_frozen,1,0.7,0.5167,0.1434,per_seed
assembly,25,1,20000,32,20,droid_frozen,2,0.35,0.5167,0.1434,per_seed
bin-picking,25,1,20000,32,20,droid_frozen,0,0.45,0.5167,0.2494,per_seed
bin-picking,25,1,20000,32,20,droid_frozen,1,0.25,0.5167,0.2494,per_seed
bin-picking,25,1,20000,32,20,droid_frozen,2,0.85,0.5167,0.2494,per_seed
drawer-open,25,1,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,25,1,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,25,1,20000,32,20,droid_frozen,0,1.0,0.8167,0.165,per_seed
hammer,25,1,20000,32,20,droid_frozen,1,0.85,0.8167,0.165,per_seed
hammer,25,1,20000,32,20,droid_frozen,2,0.6,0.8167,0.165,per_seed
AVERAGE,25,all,20000,32,20,droid_frozen,all,N/A,0.77,0.1116,summary
