task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,2,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
assembly,25,2,20000,32,20,droid_frozen,0,0.4,0.3667,0.0236,per_seed
assembly,25,2,20000,32,20,droid_frozen,1,0.35,0.3667,0.0236,per_seed
assembly,25,2,20000,32,20,droid_frozen,2,0.35,0.3667,0.0236,per_seed
bin-picking,25,2,20000,32,20,droid_frozen,0,0.75,0.7,0.1472,per_seed
bin-picking,25,2,20000,32,20,droid_frozen,1,0.5,0.7,0.1472,per_seed
bin-picking,25,2,20000,32,20,droid_frozen,2,0.85,0.7,0.1472,per_seed
drawer-open,25,2,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,25,2,20000,32,20,droid_frozen,0,1.0,0.8833,0.165,per_seed
hammer,25,2,20000,32,20,droid_frozen,1,1.0,0.8833,0.165,per_seed
hammer,25,2,20000,32,20,droid_frozen,2,0.65,0.8833,0.165,per_seed
AVERAGE,25,all,20000,32,20,droid_frozen,all,N/A,0.79,0.0672,summary
