task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,1,20000,32,20,droid_frozen,0,1.0,0.9667,0.0471,per_seed
button-press,10,1,20000,32,20,droid_frozen,1,1.0,0.9667,0.0471,per_seed
button-press,10,1,20000,32,20,droid_frozen,2,0.9,0.9667,0.0471,per_seed
assembly,10,1,20000,32,20,droid_frozen,0,0.25,0.1,0.108,per_seed
assembly,10,1,20000,32,20,droid_frozen,1,0.0,0.1,0.108,per_seed
assembly,10,1,20000,32,20,droid_frozen,2,0.05,0.1,0.108,per_seed
bin-picking,10,1,20000,32,20,droid_frozen,0,0.2,0.3833,0.165,per_seed
bin-picking,10,1,20000,32,20,droid_frozen,1,0.35,0.3833,0.165,per_seed
bin-picking,10,1,20000,32,20,droid_frozen,2,0.6,0.3833,0.165,per_seed
drawer-open,10,1,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,10,1,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,10,1,20000,32,20,droid_frozen,0,0.85,0.8833,0.0236,per_seed
hammer,10,1,20000,32,20,droid_frozen,1,0.9,0.8833,0.0236,per_seed
hammer,10,1,20000,32,20,droid_frozen,2,0.9,0.8833,0.0236,per_seed
AVERAGE,10,all,20000,32,20,droid_frozen,all,N/A,0.6667,0.0687,summary
