task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,2,20000,32,20,droid_frozen,0,1.0,0.9833,0.0236,per_seed
button-press,10,2,20000,32,20,droid_frozen,1,0.95,0.9833,0.0236,per_seed
button-press,10,2,20000,32,20,droid_frozen,2,1.0,0.9833,0.0236,per_seed
assembly,10,2,20000,32,20,droid_frozen,0,0.1,0.0667,0.0236,per_seed
assembly,10,2,20000,32,20,droid_frozen,1,0.05,0.0667,0.0236,per_seed
assembly,10,2,20000,32,20,droid_frozen,2,0.05,0.0667,0.0236,per_seed
bin-picking,10,2,20000,32,20,droid_frozen,0,0.7,0.6,0.108,per_seed
bin-picking,10,2,20000,32,20,droid_frozen,1,0.45,0.6,0.108,per_seed
bin-picking,10,2,20000,32,20,droid_frozen,2,0.65,0.6,0.108,per_seed
drawer-open,10,2,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,10,2,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,10,2,20000,32,20,droid_frozen,0,0.75,0.6333,0.085,per_seed
hammer,10,2,20000,32,20,droid_frozen,1,0.55,0.6333,0.085,per_seed
hammer,10,2,20000,32,20,droid_frozen,2,0.6,0.6333,0.085,per_seed
AVERAGE,10,all,20000,32,20,droid_frozen,all,N/A,0.6567,0.048,summary
