task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,2,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
button-press,25,2,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
assembly,25,2,20000,32,20,droid_frozen,0,0.5,0.25,0.178,per_seed
assembly,25,2,20000,32,20,droid_frozen,1,0.15,0.25,0.178,per_seed
assembly,25,2,20000,32,20,droid_frozen,2,0.1,0.25,0.178,per_seed
bin-picking,25,2,20000,32,20,droid_frozen,0,0.55,0.65,0.108,per_seed
bin-picking,25,2,20000,32,20,droid_frozen,1,0.8,0.65,0.108,per_seed
bin-picking,25,2,20000,32,20,droid_frozen,2,0.6,0.65,0.108,per_seed
drawer-open,25,2,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,25,2,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,25,2,20000,32,20,droid_frozen,0,0.85,0.8167,0.0236,per_seed
hammer,25,2,20000,32,20,droid_frozen,1,0.8,0.8167,0.0236,per_seed
hammer,25,2,20000,32,20,droid_frozen,2,0.8,0.8167,0.0236,per_seed
AVERAGE,25,all,20000,32,20,droid_frozen,all,N/A,0.7433,0.0619,summary
