task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,10,0,20000,32,20,droid_frozen,0,0.95,0.9167,0.085,per_seed
button-press,10,0,20000,32,20,droid_frozen,1,1.0,0.9167,0.085,per_seed
button-press,10,0,20000,32,20,droid_frozen,2,0.8,0.9167,0.085,per_seed
assembly,10,0,20000,32,20,droid_frozen,0,0.3,0.3167,0.1434,per_seed
assembly,10,0,20000,32,20,droid_frozen,1,0.15,0.3167,0.1434,per_seed
assembly,10,0,20000,32,20,droid_frozen,2,0.5,0.3167,0.1434,per_seed
bin-picking,10,0,20000,32,20,droid_frozen,0,0.35,0.4167,0.0943,per_seed
bin-picking,10,0,20000,32,20,droid_frozen,1,0.35,0.4167,0.0943,per_seed
bin-picking,10,0,20000,32,20,droid_frozen,2,0.55,0.4167,0.0943,per_seed
drawer-open,10,0,20000,32,20,droid_frozen,0,0.95,0.9167,0.0471,per_seed
drawer-open,10,0,20000,32,20,droid_frozen,1,0.95,0.9167,0.0471,per_seed
drawer-open,10,0,20000,32,20,droid_frozen,2,0.85,0.9167,0.0471,per_seed
hammer,10,0,20000,32,20,droid_frozen,0,0.75,0.6833,0.1312,per_seed
hammer,10,0,20000,32,20,droid_frozen,1,0.8,0.6833,0.1312,per_seed
hammer,10,0,20000,32,20,droid_frozen,2,0.5,0.6833,0.1312,per_seed
AVERAGE,10,all,20000,32,20,droid_frozen,all,N/A,0.65,0.1002,summary
