task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,0,20000,32,20,droid_frozen,0,0.85,0.7833,0.1312,per_seed
button-press,5,0,20000,32,20,droid_frozen,1,0.9,0.7833,0.1312,per_seed
button-press,5,0,20000,32,20,droid_frozen,2,0.6,0.7833,0.1312,per_seed
assembly,5,0,20000,32,20,droid_frozen,0,0.1,0.1167,0.0236,per_seed
assembly,5,0,20000,32,20,droid_frozen,1,0.15,0.1167,0.0236,per_seed
assembly,5,0,20000,32,20,droid_frozen,2,0.1,0.1167,0.0236,per_seed
bin-picking,5,0,20000,32,20,droid_frozen,0,0.15,0.35,0.1414,per_seed
bin-picking,5,0,20000,32,20,droid_frozen,1,0.45,0.35,0.1414,per_seed
bin-picking,5,0,20000,32,20,droid_frozen,2,0.45,0.35,0.1414,per_seed
drawer-open,5,0,20000,32,20,droid_frozen,0,0.4,0.3833,0.0236,per_seed
drawer-open,5,0,20000,32,20,droid_frozen,1,0.4,0.3833,0.0236,per_seed
drawer-open,5,0,20000,32,20,droid_frozen,2,0.35,0.3833,0.0236,per_seed
hammer,5,0,20000,32,20,droid_frozen,0,0.5,0.4,0.0816,per_seed
hammer,5,0,20000,32,20,droid_frozen,1,0.4,0.4,0.0816,per_seed
hammer,5,0,20000,32,20,droid_frozen,2,0.3,0.4,0.0816,per_seed
AVERAGE,5,all,20000,32,20,droid_frozen,all,N/A,0.4067,0.0803,summary
