task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,0,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
button-press,25,0,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
button-press,25,0,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
assembly,25,0,20000,32,20,droid_frozen,0,0.3,0.4,0.0816,per_seed
assembly,25,0,20000,32,20,droid_frozen,1,0.5,0.4,0.0816,per_seed
assembly,25,0,20000,32,20,droid_frozen,2,0.4,0.4,0.0816,per_seed
bin-picking,25,0,20000,32,20,droid_frozen,0,0.55,0.5833,0.1247,per_seed
bin-picking,25,0,20000,32,20,droid_frozen,1,0.45,0.5833,0.1247,per_seed
bin-picking,25,0,20000,32,20,droid_frozen,2,0.75,0.5833,0.1247,per_seed
drawer-open,25,0,20000,32,20,droid_frozen,0,1.0,1.0,0.0,per_seed
drawer-open,25,0,20000,32,20,droid_frozen,1,1.0,1.0,0.0,per_seed
drawer-open,25,0,20000,32,20,droid_frozen,2,1.0,1.0,0.0,per_seed
hammer,25,0,20000,32,20,droid_frozen,0,1.0,0.9,0.0816,per_seed
hammer,25,0,20000,32,20,droid_frozen,1,0.8,0.9,0.0816,per_seed
hammer,25,0,20000,32,20,droid_frozen,2,0.9,0.9,0.0816,per_seed
AVERAGE,25,all,20000,32,20,droid_frozen,all,N/A,0.7767,0.0576,summary
