task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,1,20000,32,20,droid_frozen,0,0.6,0.6833,0.1179,per_seed
button-press,5,1,20000,32,20,droid_frozen,1,0.85,0.6833,0.1179,per_seed
button-press,5,1,20000,32,20,droid_frozen,2,0.6,0.6833,0.1179,per_seed
assembly,5,1,20000,32,20,droid_frozen,0,0.2,0.2,0.0408,per_seed
assembly,5,1,20000,32,20,droid_frozen,1,0.15,0.2,0.0408,per_seed
assembly,5,1,20000,32,20,droid_frozen,2,0.25,0.2,0.0408,per_seed
bin-picking,5,1,20000,32,20,droid_frozen,0,0.25,0.2333,0.0236,per_seed
bin-picking,5,1,20000,32,20,droid_frozen,1,0.25,0.2333,0.0236,per_seed
bin-picking,5,1,20000,32,20,droid_frozen,2,0.2,0.2333,0.0236,per_seed
drawer-open,5,1,20000,32,20,droid_frozen,0,0.6,0.7,0.0707,per_seed
drawer-open,5,1,20000,32,20,droid_frozen,1,0.75,0.7,0.0707,per_seed
drawer-open,5,1,20000,32,20,droid_frozen,2,0.75,0.7,0.0707,per_seed
hammer,5,1,20000,32,20,droid_frozen,0,0.5,0.3667,0.1247,per_seed
hammer,5,1,20000,32,20,droid_frozen,1,0.4,0.3667,0.1247,per_seed
hammer,5,1,20000,32,20,droid_frozen,2,0.2,0.3667,0.1247,per_seed
AVERAGE,5,all,20000,32,20,droid_frozen,all,N/A,0.4367,0.0755,summary
