task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,5,2,20000,32,20,droid_frozen,0,0.6,0.7,0.108,per_seed
button-press,5,2,20000,32,20,droid_frozen,1,0.85,0.7,0.108,per_seed
button-press,5,2,20000,32,20,droid_frozen,2,0.65,0.7,0.108,per_seed
assembly,5,2,20000,32,20,droid_frozen,0,0.1,0.0833,0.0236,per_seed
assembly,5,2,20000,32,20,droid_frozen,1,0.05,0.0833,0.0236,per_seed
assembly,5,2,20000,32,20,droid_frozen,2,0.1,0.0833,0.0236,per_seed
bin-picking,5,2,20000,32,20,droid_frozen,0,0.15,0.4167,0.2248,per_seed
bin-picking,5,2,20000,32,20,droid_frozen,1,0.4,0.4167,0.2248,per_seed
bin-picking,5,2,20000,32,20,droid_frozen,2,0.7,0.4167,0.2248,per_seed
drawer-open,5,2,20000,32,20,droid_frozen,0,0.55,0.6,0.0408,per_seed
drawer-open,5,2,20000,32,20,droid_frozen,1,0.6,0.6,0.0408,per_seed
drawer-open,5,2,20000,32,20,droid_frozen,2,0.65,0.6,0.0408,per_seed
hammer,5,2,20000,32,20,droid_frozen,0,0.6,0.4167,0.165,per_seed
hammer,5,2,20000,32,20,droid_frozen,1,0.45,0.4167,0.165,per_seed
hammer,5,2,20000,32,20,droid_frozen,2,0.2,0.4167,0.165,per_seed
AVERAGE,5,all,20000,32,20,droid_frozen,all,N/A,0.4433,0.1124,summary
